genre_ids,original_language,popularity,title,vote_average,vote_count,studio,domestic_gross,foreign_gross,year,release_date,production_budget,worldwide_gross,genre_names
"[28, 80, 53]",en,16.302,Mechanic: Resurrection,5.6,1929,LG/S,21200000.0,104500000.0,2016,"Aug 26, 2016",40000000,109738840,"['Action', 'Crime', 'Thriller']"
"[12, 10751, 35, 14, 10402, 16]",en,16.286,Trolls,6.6,1880,Fox,153700000.0,193200000.0,2016,"Nov 4, 2016",125000000,344150134,"['Adventure', 'Family', 'Comedy', 'Fantasy', 'Music', 'Animation']"
"[35, 18, 10749]",en,16.275,La La Land,7.9,10028,LG/S,151100000.0,295000000.0,2016,"Dec 9, 2016",20000000,426351163,"['Comedy', 'Drama', 'Romance']"
"[28, 12, 16, 35, 10751]",en,16.248,Kung Fu Panda 3,6.7,2944,Fox,143500000.0,377600000.0,2016,"Jan 29, 2016",140000000,517599142,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']"
"[18, 53]",en,16.19,Nocturnal Animals,7.4,4192,Focus,10700000.0,19600000.0,2016,"Nov 18, 2016",22500000,32398681,"['Drama', 'Thriller']"
"[80, 18, 53, 37]",en,15.749,Hell or High Water,7.3,2468,LGF,27000000.0,10900000.0,2016,"Aug 12, 2016",12000000,37584304,"['Crime', 'Drama', 'Thriller', 'Western']"
"[28, 12, 878]",en,15.732,Independence Day: Resurgence,5.1,3911,Fox,103100000.0,286500000.0,2016,"Jun 24, 2016",165000000,384169424,"['Action', 'Adventure', 'Science Fiction']"
"[28, 18, 53, 80, 36]",en,15.435,Patriots Day,6.9,1337,LGF,31900000.0,18700000.0,2016,"Dec 21, 2016",40000000,52837989,"['Action', 'Drama', 'Thriller', 'Crime', 'History']"
"[12, 16, 35, 10751]",en,15.393,Finding Dory,7.0,7845,BV,486300000.0,542300000.0,2016,"Jun 17, 2016",200000000,1021215193,"['Adventure', 'Animation', 'Comedy', 'Family']"
"[28, 53]",en,15.287,London Has Fallen,5.9,2591,Focus,62500000.0,143200000.0,2016,"Mar 4, 2016",60000000,195194085,"['Action', 'Thriller']"
"[12, 16, 35, 14]",en,15.232,Sausage Party,5.6,4237,Sony,97700000.0,43000000.0,2016,"Aug 12, 2016",19000000,141344255,"['Adventure', 'Animation', 'Comedy', 'Fantasy']"
"[28, 12, 35, 10751, 878]",en,15.096,Teenage Mutant Ninja Turtles: Out of the Shadows,5.9,1860,Par.,82100000.0,163600000.0,2016,"Jun 3, 2016",135000000,245328374,"['Action', 'Adventure', 'Comedy', 'Family', 'Science Fiction']"
[35],en,15.044,Why Him?,6.2,2494,Fox,60300000.0,57800000.0,2016,"Dec 23, 2016",38000000,117425156,['Comedy']
"[28, 12]",en,14.797,The Legend of Tarzan,5.8,4102,WB,126600000.0,230100000.0,2016,"Jul 1, 2016",180000000,348902025,"['Action', 'Adventure']"
"[18, 36]",en,14.751,Hidden Figures,8.0,4710,Fox,169600000.0,66300000.0,2016,"Dec 25, 2016",25000000,231771716,"['Drama', 'History']"
"[28, 53]",en,14.568,Jason Bourne,6.1,3611,Uni.,162400000.0,253100000.0,2016,"Jul 29, 2016",120000000,416168316,"['Action', 'Thriller']"
"[28, 35, 9648]",en,14.478,Central Intelligence,6.3,3133,WB (NL),127400000.0,89500000.0,2016,"Jun 17, 2016",50000000,217194805,"['Action', 'Comedy', 'Mystery']"
[35],en,14.332,Bad Moms,6.5,2600,STX,113300000.0,70700000.0,2016,"Jul 29, 2016",20000000,180998716,['Comedy']
"[27, 18, 53]",en,14.091,The Shallows,6.3,3037,Sony,55100000.0,64000000.0,2016,"Jun 24, 2016",13000000,118763442,"['Horror', 'Drama', 'Thriller']"
"[16, 12, 10751]",en,13.847,Kubo and the Two Strings,7.7,2029,Focus,48000000.0,21900000.0,2016,"Aug 19, 2016",55000000,77548122,"['Animation', 'Adventure', 'Family']"
"[80, 53, 18]",en,13.81,The Accountant,6.9,3407,WB,86300000.0,68900000.0,2016,"Oct 14, 2016",40000000,152962083,"['Crime', 'Thriller', 'Drama']"
"[35, 80, 9648]",en,13.743,The Nice Guys,7.1,4272,WB,36300000.0,26500000.0,2016,"May 20, 2016",50000000,59596747,"['Comedy', 'Crime', 'Mystery']"
"[18, 36, 80, 53]",en,13.703,Snowden,7.1,2427,ORF,21600000.0,15700000.0,2016,"Sep 16, 2016",50000000,35380918,"['Drama', 'History', 'Crime', 'Thriller']"
"[18, 28]",en,13.685,Deepwater Horizon,6.7,2606,LG/S,61400000.0,60400000.0,2016,"Sep 30, 2016",156000000,122603824,"['Drama', 'Action']"
"[28, 53, 9648]",en,13.334,Triple 9,5.8,1258,ORF,12600000.0,10500000.0,2016,"Feb 26, 2016",20000000,25943792,"['Action', 'Thriller', 'Mystery']"
[35],en,12.997,Zoolander 2,4.7,1374,Par.,28800000.0,27900000.0,2016,"Feb 12, 2016",50000000,55348693,['Comedy']
"[28, 35]",en,12.977,Ride Along 2,6.2,939,Uni.,91200000.0,33400000.0,2016,"Jan 15, 2016",40000000,124827316,"['Action', 'Comedy']"
"[12, 878]",en,12.967,The 5th Wave,5.8,3657,Sony,34900000.0,75000000.0,2016,"Jan 22, 2016",38000000,111336398,"['Adventure', 'Science Fiction']"
"[18, 10749]",en,12.857,Collateral Beauty,7.2,3270,WB (NL),31000000.0,57500000.0,2016,"Dec 16, 2016",36000000,85309093,"['Drama', 'Romance']"
[35],en,12.846,Barbershop: The Next Cut,6.0,248,WB (NL),54000000.0,1000000.0,2016,"Apr 15, 2016",20000000,54404202,['Comedy']
[18],en,12.753,Fences,6.8,1465,Par.,57700000.0,6700000.0,2016,"Dec 16, 2016",24000000,64282881,['Drama']
"[28, 18, 36, 53]",en,12.673,The Finest Hours,6.4,943,BV,27600000.0,24500000.0,2016,"Jan 29, 2016",70000000,49252761,"['Action', 'Drama', 'History', 'Thriller']"
"[12, 35, 18]",en,12.545,Hunt for the Wilderpeople,7.8,915,Orch.,5200000.0,0.0,2016,"Jun 24, 2016",2500000,23845533,"['Adventure', 'Comedy', 'Drama']"
"[53, 9648, 27]",en,12.408,Lights Out,6.3,2220,WB (NL),67300000.0,81600000.0,2016,"Jul 22, 2016",5000000,148806510,"['Thriller', 'Mystery', 'Horror']"
"[18, 36]",en,12.349,The Founder,7.0,2093,Wein.,12800000.0,11300000.0,2017,"Jan 20, 2017",15000000,24403192,"['Drama', 'History']"
"[35, 18, 9648]",en,12.312,"Hail, Caesar!",5.9,2328,Uni.,30500000.0,33100000.0,2016,"Feb 5, 2016",22000000,64160680,"['Comedy', 'Drama', 'Mystery']"
"[18, 53]",en,12.215,Miss Sloane,7.4,912,EC,3500000.0,5600000.0,2016,"Nov 25, 2016",18000000,7719630,"['Drama', 'Thriller']"
